long1,long2,lat1,lat2
76.33243846,76.33243846,34.63371238,34.63371238
76.33243846,75.41511227,34.63371238,30.84273641
76.33243846,76.77992395,34.63371238,30.72953968
76.33243846,80.56544756,34.63371238,26.92348143
76.33243846,76.33989659,34.63371238,29.19864358
76.33243846,77.11437715,34.63371238,28.64399342
76.33243846,73.84966968,34.63371238,26.58443396
76.33243846,79.20652979,34.63371238,30.15671305
76.33243846,85.60953247,34.63371238,25.67923918
76.33243846,88.4741533,34.63371238,27.57033606
76.33243846,94.67558849,34.63371238,28.03614313
76.33243846,94.46747289,34.63371238,26.06285728
76.33243846,93.87771148,34.63371238,24.73536481
76.33243846,92.83318176,34.63371238,23.30762901
76.33243846,91.74111371,34.63371238,23.74742752
76.33243846,91.27773988,34.63371238,25.53600199
76.33243846,92.82711013,34.63371238,26.35555846
76.33243846,87.98549287,34.63371238,23.80544792
76.33243846,85.56426683,34.63371238,23.65610605
76.33243846,84.43079273,34.63371238,20.51269293
76.33243846,82.04110311,34.63371238,21.26650484
76.33243846,78.28926027,34.63371238,23.53787145
76.33243846,71.59969939,34.63371238,22.68350602
76.33243846,72.21907478,34.63371238,20.51579461
76.33243846,73.06896755,34.63371238,20.1941485
76.33243846,76.10762442,34.63371238,19.45157685
76.33243846,79.57313889,34.63371238,16.59309563
76.33243846,76.16681726,34.63371238,14.71046095
76.33243846,74.04940785,34.63371238,15.36400472
76.33243846,72.9623108,34.63371238,9.985515104
76.33243846,76.4077955,34.63371238,10.45270542
76.33243846,78.40792811,34.63371238,11.01707933
76.33243846,79.91431909,34.63371238,11.95185154
76.33243846,92.9608613,34.63371238,11.18065072
76.33243846,#N/A,34.63371238,#N/A
76.33243846,#N/A,34.63371238,#N/A
76.33243846,#N/A,34.63371238,#N/A
76.33243846,#N/A,34.63371238,#N/A
76.33243846,#N/A,34.63371238,#N/A
77.24372583,76.33243846,31.92399538,34.63371238
77.24372583,75.41511227,31.92399538,30.84273641
77.24372583,76.77992395,31.92399538,30.72953968
77.24372583,80.56544756,31.92399538,26.92348143
77.24372583,76.33989659,31.92399538,29.19864358
77.24372583,77.11437715,31.92399538,28.64399342
77.24372583,73.84966968,31.92399538,26.58443396
77.24372583,79.20652979,31.92399538,30.15671305
77.24372583,85.60953247,31.92399538,25.67923918
77.24372583,88.4741533,31.92399538,27.57033606
77.24372583,94.67558849,31.92399538,28.03614313
77.24372583,94.46747289,31.92399538,26.06285728
77.24372583,93.87771148,31.92399538,24.73536481
77.24372583,92.83318176,31.92399538,23.30762901
77.24372583,91.74111371,31.92399538,23.74742752
77.24372583,91.27773988,31.92399538,25.53600199
77.24372583,92.82711013,31.92399538,26.35555846
77.24372583,87.98549287,31.92399538,23.80544792
77.24372583,85.56426683,31.92399538,23.65610605
77.24372583,84.43079273,31.92399538,20.51269293
77.24372583,82.04110311,31.92399538,21.26650484
77.24372583,78.28926027,31.92399538,23.53787145
77.24372583,71.59969939,31.92399538,22.68350602
77.24372583,72.21907478,31.92399538,20.51579461
77.24372583,73.06896755,31.92399538,20.1941485
77.24372583,76.10762442,31.92399538,19.45157685
77.24372583,79.57313889,31.92399538,16.59309563
77.24372583,76.16681726,31.92399538,14.71046095
77.24372583,74.04940785,31.92399538,15.36400472
77.24372583,72.9623108,31.92399538,9.985515104
77.24372583,76.4077955,31.92399538,10.45270542
77.24372583,78.40792811,31.92399538,11.01707933
77.24372583,79.91431909,31.92399538,11.95185154
77.24372583,92.9608613,31.92399538,11.18065072
77.24372583,#N/A,31.92399538,#N/A
77.24372583,#N/A,31.92399538,#N/A
77.24372583,#N/A,31.92399538,#N/A
77.24372583,#N/A,31.92399538,#N/A
77.24372583,#N/A,31.92399538,#N/A
75.41511227,76.33243846,30.84273641,34.63371238
75.41511227,75.41511227,30.84273641,30.84273641
75.41511227,76.77992395,30.84273641,30.72953968
75.41511227,80.56544756,30.84273641,26.92348143
75.41511227,76.33989659,30.84273641,29.19864358
75.41511227,77.11437715,30.84273641,28.64399342
75.41511227,73.84966968,30.84273641,26.58443396
75.41511227,79.20652979,30.84273641,30.15671305
75.41511227,85.60953247,30.84273641,25.67923918
75.41511227,88.4741533,30.84273641,27.57033606
75.41511227,94.67558849,30.84273641,28.03614313
75.41511227,94.46747289,30.84273641,26.06285728
75.41511227,93.87771148,30.84273641,24.73536481
75.41511227,92.83318176,30.84273641,23.30762901
75.41511227,91.74111371,30.84273641,23.74742752
75.41511227,91.27773988,30.84273641,25.53600199
75.41511227,92.82711013,30.84273641,26.35555846
75.41511227,87.98549287,30.84273641,23.80544792
75.41511227,85.56426683,30.84273641,23.65610605
75.41511227,84.43079273,30.84273641,20.51269293
75.41511227,82.04110311,30.84273641,21.26650484
75.41511227,78.28926027,30.84273641,23.53787145
